candle_end_time,open,high,low,close,amount,info
2022-12-13,33.992,34.522,33.872,34.402,382904.000,
2022-12-14,34.402,35.302,34.282,35.172,644362.000,
2022-12-15,34.882,35.222,34.482,34.592,403403.000,
2022-12-16,34.562,35.462,34.562,35.352,607820.000,
2022-12-19,35.362,35.602,34.512,34.762,547843.000,
2022-12-20,34.502,34.812,33.562,33.982,702911.000,
2022-12-21,34.252,34.492,33.972,34.212,330498.000,
2022-12-22,34.792,35.112,34.512,34.762,359715.000,
2022-12-23,34.552,35.062,34.412,34.632,330584.000,
2022-12-26,34.612,35.062,34.152,34.212,360474.000,
2022-12-27,34.712,35.242,34.592,34.932,367907.000,
2022-12-28,34.932,35.782,34.842,35.592,528860.000,
2022-12-29,35.162,35.582,34.912,35.492,513629.000,
2022-12-30,35.602,35.892,35.452,35.522,523228.000,
2023-01-03,35.342,36.042,34.792,35.842,606266.000,
2023-01-04,36.042,37.092,35.792,36.912,836454.000,
2023-01-05,37.252,37.532,36.662,36.762,619085.000,
2023-01-06,36.922,37.192,36.152,36.642,590007.000,
2023-01-09,36.672,37.362,36.672,37.062,499149.000,
2023-01-10,37.042,37.062,36.422,36.512,541972.000,
2023-01-11,36.642,37.442,36.402,37.182,541707.000,
2023-01-12,37.372,37.412,36.992,37.312,304349.000,
2023-01-13,37.332,37.922,37.232,37.922,463767.000,
2023-01-16,38.262,39.402,38.062,38.732,880469.000,
2023-01-17,38.712,39.202,38.542,38.942,432047.000,
2023-01-18,38.912,39.212,38.492,38.642,294675.000,
2023-01-19,38.462,39.062,38.182,38.912,472490.000,
2023-01-20,39.242,39.362,38.942,39.312,413403.000,
2023-01-30,40.812,40.892,40.112,40.292,1007007.000,
2023-01-31,40.612,40.612,39.472,39.472,642312.000,
2023-02-01,39.902,39.952,38.212,38.802,916791.000,
2023-02-02,38.962,39.012,37.812,38.292,727233.000,
2023-02-03,38.052,38.052,37.272,37.562,638164.000,
2023-02-06,36.982,37.002,36.142,36.612,731001.000,
2023-02-07,36.762,37.202,36.422,36.672,426571.000,
2023-02-08,36.762,37.182,36.622,36.752,317065.000,
2023-02-09,36.682,37.152,36.582,36.752,498175.000,
2023-02-10,36.562,36.652,36.162,36.422,411026.000,
